include,fy,agency,administration,suboffice,program,summary,program_appr,mitigation,power,transportation,industry,agriculture,buildings,forestry,efficiency,clean_electricity,electrification,fuels,carbon_management,non_co2,land_sink,other,rd,piloting,deployment,energy_water,transportation,agriculture,interior_environment,iija,ira,approps,one_time
Y,2021,DOE,Energy Efficiency and Renewable Energy (EERE),Sustainable Transportation,Hydrogen and Fuel Cell Technologies,"The role of the Hydrogen and Fuel Cell Technologies Office (HFTO) is to drive the research, development, demonstration, and deployment (RDD&D) of innovative technologies to facilitate widespread adoption of clean hydrogen and fuel cell technologies across sectors.",150000,150000,49999.66667,49999.66667,49999.66667,0,0,0,0,0,0,150000,0,0,0,0,51000,73500,25500,150000,0,0,0,0,0,150000,0
Y,2021,DOE,Energy Efficiency and Renewable Energy (EERE),Renewable Energy,Solar Energy Technologies,"EERE’s Solar Energy Technologies Program (SETO) accelerates the development and deployment of solar technologies while supporting the reliability, resilience, and security of the U.S. electric grid and solar supply chain, as well as the Administration’s goal to reach a carbon pollution-free electricity sector by 2035, supported by good-paying, green jobs. ",280000,280000,220000,0,60000,0,0,0,0,250000,30000,0,0,0,0,0,91666.66667,91666.66667,96666.66667,280000,0,0,0,0,0,280000,0
Y,2021,DOE,Energy Efficiency and Renewable Energy (EERE),Sustainable Transportation,Vehicle Technologies,"The Vehicle Technologies Office (VTO) will play a leading role in decarbonizing the transportation sector and address the climate crisis by driving innovation and deploying clean transportation technologies, all while maintaining transportation service quality and safety.  ",400000,400000,0,400000,0,0,0,0,0,0,306000,72000,0,0,0,22000,317200,52650,30150,400000,0,0,0,0,0,400000,0
Y,2021,DOE,Energy Efficiency and Renewable Energy (EERE),Renewable Energy,Water Power Technologies,The Water Power Technologies Office (WPTO) administers a broad portfolio of research activities to strengthen the body of technical knowledge and support industry efforts to develop and deploy new hydropower and marine energy technologies at all scales.,150000,150000,150000,0,0,0,0,0,0,150000,0,0,0,0,0,0,95500,54500,0,150000,0,0,0,0,0,150000,0
Y,2021,DOE,Energy Efficiency and Renewable Energy (EERE),Renewable Energy,Wind Energy Technologies,"The Wind Energy Technologies Office (WETO) will execute a comprehensive RDD&D plan to accelerate offshore wind and land-based wind energy innovation, cost reduction, and deployment, including on federal lands and at federal facilities. ",110000,110000,110000,0,0,0,0,0,0,110000,0,0,0,0,0,0,36667,31667,41667,110000,0,0,0,0,0,110000,0
Y,2021,DOE,Electricity,"Grid Hardware, Components, and Systems",Energy Storage,"The Energy Storage program leads a national effort to ensure a more flexible, resilient, and equitable North American power grid through increased deployment of bi-directional electrical energy storage.",80000,80000,80000,0,0,0,0,0,0,80000,0,0,0,0,0,0,80000,0,0,80000,0,0,0,0,0,80000,0
Y,2021,DOE,Electricity,Grid Controls and Communications,Resilient Distribution Systems,"The Resilient Distribution Systems subprogram focuses developing transformative technologies, tools, and techniques to enable industry to modernize electricity distribution.",50000,50000,50000,0,0,0,0,0,0,25000,25000,0,0,0,0,0,48220,0,0,50000,0,0,0,0,0,50000,0
Y,2021,DOE,Electricity,"Grid Hardware, Components, and Systems",Transformer Resilience and Advanced Components,"The Transformer Resilience and Advanced Components program develops innovations for grid hardware carrying, controlling, and converting electricity for the purpose of achieving electric grid decarbonization goals, ensuring reliability and resilience, and modernizing the electric deilivery system to withstand the effects of climate change and support a changing mix of electricity generation.",7500,3750,3750,0,0,0,0,0,0,3750,0,0,0,0,0,0,3750,0,0,3750,0,0,0,0,0,3750,0
Y,2021,DOE,Electricity,Transmission Permitting and Technical Assistance Program,Transmission Permitting and Technical Assistance Program,"The Transmission Permitting and Technical Assistance Program supports activities with Federal, State, and industry partners to modernize the grid and ensure equitable and adequate transmission capacity across the United States to achieve 100% carbon-free electricity by 2035.",7000,7000,7000,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,7000,7000,0,0,0,0,0,7000,0
Y,2021,DOE,Electricity,Transmission Reliability and Resilience,Transmission Reliability and Resilience,The Transmission Reliability and Resilience subprogram focuses developing transmission system tools and data analytics to inform planning and operational decisions that maintain and improve system reliability while accelerating the integration of renewable energy for the electricity industry. ,48220,48220,48220,0,0,0,0,0,0,48220,0,0,0,0,0,0,48220,0,0,48220,0,0,0,0,0,48220,0
Y,2021,DOE,Fossil Energy and Carbon Management (FECM),"Carbon Capture, Utilization and Storage and Power Systems",Carbon Dioxide Removal,"The Carbon Dioxide Removal program funds research in direct air capture, bioenergy with carbon capture and storage, and mineralization, terrestrial carbon removal and sequestration and coastal blue carbon. ",40000,40000,0,0,0,20000,0,20000,0,0,0,0,20000,0,20000,0,13333.33333,13333.33333,13333.33333,40000,0,0,0,0,0,40000,0
Y,2021,DOE,Fossil Energy and Carbon Management (FECM),Carbon Management Technologies,Carbon Dioxide Removal,"The Carbon Dioxide Removal program funds research in direct air capture, bioenergy with carbon capture and storage, and mineralization, terrestrial carbon removal and sequestration and coastal blue carbon. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Fossil Energy and Carbon Management (FECM),"Carbon Capture, Utilization and Storage and Power Systems",Supercritical Transformational Electric Power (STEP),"The Supercritical Transformational Electric Power (STEP) program focuses on RDD&D in higher efficiency, lower cost technologies that use supercritical CO2 to power cycles. ",14500,14500,14500,0,0,0,0,0,14500,0,0,0,0,0,0,0,4833.333333,4833.333333,4833.333333,14500,0,0,0,0,0,14500,0
Y,2021,DOE,Fossil Energy and Carbon Management (FECM),"Carbon Capture, Utilization and Storage and Power Systems",Transformational Coal Pilots,The Transformational Coal Pilots program funds two large-scale pilots that focus on transformational coal technologies with increased efficiency from thermodynamic improvements in energy conversion and heat transfer.,10000,10000,10000,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0,0,0,10000,0
Y,2021,DOE,Fossil Energy and Carbon Management (FECM),"Carbon Capture, Utilization and Storage and Power Systems",Advanced Energy and Hydrogen Systems,"The Advanced Energy and Hydrogen Systems (AEHS) program RDD&D is targeted at improving overall system efficiency, reducing capital and operating costs, hydrogen production and use, and enabling affordable carbon capture. ",108100,92100,64050,10000,18050,0,0,0,16100,0,0,66500,9500,0,0,0,79433.33333,6333.333333,6333.333333,92100,0,0,0,0,0,92100,0
Y,2021,DOE,Fossil Energy and Carbon Management (FECM),Carbon Management Technologies,Hydrogen with Carbon Management,"The Hydrogen with Carbon Management subprogram invests in research to evaluate carbon-neutral hydrogen (i.e., coupled to carbon capture and storage, or CCS) as a fuel and supports development of technologies to use carbonneutral hydrogen from any source. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Fossil Energy and Carbon Management (FECM),"Carbon Capture, Utilization and Storage and Power Systems",Carbon Capture,The Carbon Capture program is focused on RDD&D on post-combustion and pre-combustion CO2 capture. ,86300,86300,43150,0,43150,0,0,0,0,0,0,5000,78300,3000,0,0,42983.33333,39983.33333,3333.333333,86300,0,0,0,0,0,86300,0
Y,2021,DOE,Fossil Energy and Carbon Management (FECM),Carbon Management Technologies,Point Source Carbon Capture,The  Point-Source Carbon Capture subprogram is focused on R&D of carbon capture technologies that play a key role in decarbonizing committed emissions associated with hard-to-decarbonize industries and the power sector. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Fossil Energy and Carbon Management (FECM),"Carbon Capture, Utilization and Storage and Power Systems",Carbon Storage,The Carbon Storage program is focused on the development of technologies for the safe and secure geologic storage of captured carbon dioxide (CO2).,79000,79000,39500,0,39500,0,0,0,0,0,0,0,63300,0,0,0,26333.33334,26333.33334,26333.33334,79000,0,0,0,0,0,79000,0
Y,2021,DOE,Fossil Energy and Carbon Management (FECM),Carbon Management Technologies,Carbon Transport and Storage,The Carbon Transport and Storage (CTS) subprogram is focused on the development of infrastructure and carbon management technologies for the safe and secure transport and geologic storage of CO2 captured from point sources and the air. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Fossil Energy and Carbon Management (FECM),"Carbon Capture, Utilization and Storage and Power Systems",Carbon Utilization,"The Carbon Utilization program focuses on novel approaches to recycle carbon oxide (CO) emissions, principally CO2, into value-added products such as chemicals, fuels, and building products.",23000,23000,11500,0,11500,0,0,0,0,0,0,0,23000,0,0,0,7666.666667,7666.666667,7666.666667,23000,0,0,0,0,0,23000,0
Y,2021,DOE,Fossil Energy and Carbon Management (FECM),Carbon Management Technologies,Carbon Dioxide Conversion,"The Carbon Dioxide Conversion subprogram develops technologies to convert carbon oxides (carbon monoxide, or CO, and carbon dioxide, or CO2) into economically valuable products manufactured in a commercially viable and environmentally and socially beneficial manner. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Fossil Energy and Carbon Management (FECM),"Carbon Capture, Utilization and Storage and Power Systems",Crosscutting Research,"The Crosscutting Research subprogram supports innovative early stage RDD&D for improving reliability, availability, efficiency, and environmental performance of power technologies.",32900,32900,26125,0,6775,0,0,0,15858,6683,0,2500,7858,0,0,0,21916.66667,5166.666667,5816.666667,32900,0,0,0,0,0,32900,0
Y,2021,DOE,Fossil Energy and Carbon Management (FECM),"Carbon Capture, Utilization and Storage and Power Systems",Mineral Sustainability,"The Mineral Sustainability subprogram will support domestic supply chain networks required for the economically, environmentally, and geopolitically sustainable production of critical minerals (CM).",53000,23000,5750,5750,5750,0,5750,0,0,0,0,0,0,0,0,23000,7666.666667,7666.666667,7666.666667,23000,0,0,0,0,0,23000,0
Y,2021,DOE,Fossil Energy and Carbon Management (FECM),Resource Sustainability,Mineral Sustainability,"The Mineral Sustainability subprogram will support domestic supply chain networks required for the economically, environmentally, and geopolitically sustainable production of critical minerals (CM).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Fossil Energy and Carbon Management (FECM),Natural Gas Technologies,Natural Gas Technologies,The Natural Gas Technologies Program addresses the critical environmental and safety issues associated with the production and transmission of domestic natural gas. ,57000,20000,0,0,20000,0,0,0,6750,0,0,0,0,13250,0,0,20000,0,0,20000,0,0,0,0,0,20000,0
Y,2021,DOE,Fossil Energy and Carbon Management (FECM),Resource Technologies and Sustainability,Natural Gas Technologies,The Natural Gas Technologies Program addresses the critical environmental and safety issues associated with the production and transmission of domestic natural gas. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Fossil Energy and Carbon Management (FECM),Resource Sustainability,Methane Mitigation Technologies,"The Methane Mitigation Technologies program will develop technologies to reduce emissions from fossil fuel production, transmission, distribution, processing, and storage infrastructure. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Fossil Energy and Carbon Management (FECM),Resource Sustainability,Natural Gas Decarbonization and Hydrogen,"The Natural Gas Decarbonization and Hydrogen Technologies subprogram will focus on advancing technologies for the “carbon-neutral” production, transportation, and storage of hydrogen sourced from natural gas.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Fossil Energy and Carbon Management (FECM),University Training and Research,University Training and Research,The University Training and Research program focuses on developing the next generation of scientists and engineers to strengthen the energy and environmental science and engineering workforce with a focus on innovative investigations. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Loan Programs Office,Advanced Technology Vehicle Manufacturing Loan Program,Advanced Technology Vehicle Manufacturing Loan Program,"The Advanced Technology Vehicle Manufacturing Loan Program  provides long-term, low-interest rate debt capital to companies looking to manufacture fuel-efficient components and advanced technology light-duty passenger vehicles. ",5000,5000,0,5000,0,0,0,0,2500,0,2500,0,0,0,0,0,0,0,5000,5000,0,0,0,0,0,5000,0
Y,2021,DOE,Loan Programs Office,Title 17 Innovative technology Loan Guarantee Program,Title 17 Innovative Technology Loan Guarantee Program,"The Title 17 Innovative Technology Loan Guarantee Program accelerates the deployment of innovative projects to help launch new clean energy markets, reduce greenhouse gas emission, and drive American economic growth by providing flexible, custom financing and access to debt capital that helps to meet the specific needs of individual borrowers.",32000,32000,32000,0,0,0,0,0,10667,10667,10667,0,0,0,0,0,0,0,32000,32000,0,0,0,0,0,32000,0
Y,2021,DOE,Loan Programs Office,Title 17 Innovative technology Loan Guarantee Program,Title 17 Innovative Technology Loan Guarantee Program,"The Title 17 Innovative technology Loan Guarantee Program accelerates the deployment of innovative projects to help launch new clean energy markets, reduce greenhouse gas emission, and drive American economic growth by providing flexible, custom financing and access to debt capital that helps to meet the specific needs of individual borrowers.",32000,32000,32000,0,0,0,0,0,10667,10667,10667,0,0,0,0,0,0,0,32000,32000,0,0,0,0,0,32000,0
Y,2021,DOE,Loan Programs Office,Title 17 Innovative technology Loan Guarantee Program,Title 17 Innovative technology Loan Guarantee Program,"The Title 17 Innovative technology Loan Guarantee Program accelerates the deployment of innovative projects to help launch new clean energy markets, reduce greenhouse gas emission, and drive American economic growth by providing flexible, custom financing and access to debt capital that helps to meet the specific needs of individual borrowers.",32000,32000,32000,0,0,0,0,0,10667,10667,10667,0,0,0,0,0,0,0,32000,32000,0,0,0,0,0,32000,0
Y,2021,DOE,Loan Programs Office,Tribal Energy Loan Guarantee Program,Tribal Energy Loan Guarantee Program,The Tribal Energy Loan Guarantee Program provides support to commercial lenders to provide debt capital to Tribal companies and organizations installing energy projects.,2000,2000,2000,0,0,0,0,0,666.6666667,666.6666667,666.6666667,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,2000,0
Y,2021,DOE,Nuclear,Fuel Cycle Research and Development ,Fuel Cycle R&D,"The Fuel Cycle Research and Development (FCR&D) program conducts applied research and development (R&D) on advanced fuel cycle technologies that have the potential to accelerate progress on managing and disposing of the nation’s spent fuel and high-level waste, improve resource utilization and energy generation, reduce waste generation, and limit proliferation risk.",309300,309300,300300,0,9000,0,0,0,0,309300,0,0,0,0,0,0,257300,46000,6000,309300,0,0,0,0,0,309300,0
Y,2021,DOE,Nuclear,Integrated University Program ,Integrated University Program,"The Integrated University Program engages U.S. colleges and universities to conduct research and development (R&D), enhance infrastructure, and support student education, thereby helping to sustain a world-class nuclear energy and workforce capability.",5000,5000,5000,0,0,0,0,0,0,5000,0,0,0,0,0,0,5000,0,0,5000,0,0,0,0,0,5000,0
Y,2021,DOE,Nuclear,Directed R&D and University Programs,University Nuclear Leadership Program,The University Nuclear Leadership Program (UNLP) provides undergraduate scholarships and graduate fellowships to sustain a world-class nuclear energy and workforce capability.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Nuclear,Directed R&D and University Programs,"NEUP, SBIR/STTR, and TCF","The NEUP, SBIR/STTR, and TCF subprogram includes competitively awarded opportunities for small businesses, national laboratories, and universities that supports a scope relevant to NE’s R&D mission. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Nuclear,Directed R&D and University Programs,University Fuel Services,University Fuel Services (UFS) provides fuel services for U.S. university research reactors. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Nuclear,"Reactor Concepts Research, Development and Demonstration (RD&D) ",Reactor Concepts RD&D,"The Reactor Concepts Research, Development and Demonstration (RD&D) program supports conducting RD&D on existing and advanced reactor designs and technologies to enable industry to address technical and regulatory challenges associated with maintaining the existing fleet of nuclear reactors, promote the development of a robust pipeline of advanced reactor designs and technologies and associated supply chains, and progress these advanced reactor designs and technologies towards demonstration when deemed appropriate.",208000,208000,208000,0,0,0,0,0,0,208000,0,0,0,0,0,0,150500,57500,0,208000,0,0,0,0,0,208000,0
Y,2021,DOE,Nuclear,Supercritical Transformational Electric Power Research and Development (STEP R&D) ,Supercritical Transformational Electric Power Research and Development,The Supercritical Transformational Electric Power Research and Development (STEP R&D) initiative was a collaborative  project to develop and scale-up advanced Supercritical Carbon Dioxide (sCO2) Brayton cycle energy conversion technology to facilitate commercial development. ,5000,5000,5000,0,0,0,0,0,0,5000,0,0,0,0,0,0,5000,0,0,5000,0,0,0,0,0,5000,0
Y,2021,DOE ,Nuclear,Advanced Reactor Demonstration Program ,Advanced Reactor Demonstration Program ,The Advanced Reactor Demonstration Program (ARDP) focuses Departmental and non-federal resources on supporting the development of advanced reactors that have the potential for near and mid-term demonstration and commercial deployment and addressing challenges hindering their deployment.  ,250000,250000,250000,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,235000,15000,250000,0,0,0,0,0,250000,0
Y,2021,DOE ,Nuclear,Nuclear Energy Enabling Technologies ,Nuclear Energy Enabling Technologies ,The Nuclear Energy Enabling Technologies (NEET) program conducts research and development (R&D) and makes strategic investments in research capabilities to develop innovative and crosscutting nuclear energy technologies to resolve nuclear technology development issues.,122869,122869,122869,0,0,0,0,0,0,108869,0,0,0,0,0,14000,69667,41536,11667,122869,0,0,0,0,0,122869,0
Y,2021,DOE ,Nuclear,Versatile Test Reactor Project ,Versatile Test Reactor Project ,The Versatile Test Reactor (VTR) supports reviving and expanding the nuclear sector in the U.S. by supporting the modernization of the U.S. infrastructure for early stage research and development (R&D). ,45000,45000,45000,0,0,0,0,0,0,45000,0,0,0,0,0,0,0,45000,0,45000,0,0,0,0,0,45000,0
Y,2021,DOE,Office of Indian Energy,Indian Energy Policy and Programs,Indian Energy Policy and Programs,"The Office of Indian Energy Policy and Programs serves all Federally recognized Indian tribes, which include Alaska Native Regional Corporations and Village Corporations, as well as tribal and intertribal organizations, and tribal energy development organizations. ",22000,22000,22000,0,0,0,0,0,6937,7532,7532,0,0,0,0,0,0,0,22000,22000,0,0,0,0,0,22000,0
Y,2021,DOE,Office of Science (SC),Basic Energy Science,Basic Energy Sciences,"The mission of the Basic Energy Sciences (BES) program is to support fundamental research to understand, predict, and ultimately control matter and energy at the electronic, atomic, and molecular levels. BES research provides the foundations to develop new clean energy technologies, to mitigate the climate and environmental impacts of energy generation/use, and to support DOE missions in energy, environment, and national security. ",2245000,524169,187451.5,90011,134113,0,112594.5,0,94615,168995.5,162328.5,21042,25382,18715,0,33090,524169,0,0,524169,0,0,0,0,0,524169,0
Y,2021,DOE,Office of Science (SC),Biological and Environmental Research,Biological and Environmental Research,"The mission of the Biological and Environmental Research (BER) program is to support transformative science and scientific user facilities to achieve a predictive understanding of complex biological, Earth, and environmental systems for clean energy and climate innovation.",753000,357574,72929,46262,46262,72929,46262,72929,0,89393.5,0,89393.5,20000,0,89393.5,69393.5,357574,0,0,357574,0,0,0,0,0,357574,0
Y,2021,DOE,Office of Science (SC),Fusion Energy Sciences,Fusion Energy Sciences,"The Fusion Energy Sciences program builds the scientific foundation needed to develop a fusion energy source which is carbon-free, inherently safe, does not produce radioactive waste, and is virtually inexhaustible. ",672000,672000,672000,0,0,0,0,0,0,672000,0,0,0,0,0,0,672000,0,0,672000,0,0,0,0,0,672000,0
Y,2021,DOE,Energy Efficiency and Renewable Energy (EERE),Energy Efficiency,Weatherization and Intergovernmental Programs,"The mission of the Weatherization and Intergovernmental Programs Office (WIP) is to partner with state and local organizations to significantly accelerate the deployment of clean energy (e.g., energy efficiency and renewable energy) technologies and practices through place-based strategies involving a wide range of government, community, and business stakeholders. ",377500,377500,15625,15625,15625,0,330625,0,335833,20833,20833,0,0,0,0,0,0,0,377500,377500,0,0,0,0,0,377500,0
Y,2021,DOE,Energy Efficiency and Renewable Energy (EERE),State and Community Energy Programs,State and Community Energy Programs,The Office of State and Community Energy Programs (SCEP) supports the transition to an equitable clean energy economy by working with community-level implementation partners and State Energy Offices. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Energy Efficiency and Renewable Energy (EERE),Manufacturing and Energy Supply Chains,Manufacturing and Energy Supply Chains,The Office of Manufacturing and Energy Supply Chains (MESC) is responsible for strengthening and securing manufacturing and energy supply chains needed to modernize the nation’s energy infrastructure and support a clean and equitable energy transition.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Office of Clean Energy Demonstrations,Clean Energy Demonstrations,Clean Energy Demonstrations,"The mission of the Office of Clean Energy Demonstrations (OCED) is to deliver commercial-scale energy demonstration projects in partnership with the private sector to accelerate market adoption, deployment, and the equitable transition to a modernized and competitive clean energy economy.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Office of Technology Transitions (OTT),Technology Transition Activities,Technology Transition Activities,The mission of the Office of Technology Transitions (OTT) is to expand the commercial and public impact of the research investments of the DOE. ,8375,8375,8375,0,0,0,0,0,1396,1396,1396,1396,1396,0,0,0,8375,0,0,8375,0,0,0,0,0,8375,0
Y,2021,DOT,Federal Aviation Administration,"Research, Engineering & Development",Alternative Fuels for General Aviation,"The Alternative Fuels for General Aviation program researches, develops, and tests aviation fuels without lead emissions to support climate mitigation. ",2524,2524,0,2524,0,0,0,0,0,0,0,1262,0,1262,0,0,1262,1262,0,0,2524,0,0,0,0,2524,0
Y,2021,DOT,Federal Aviation Administration,"Research, Engineering & Development",Environment and Energy,The Environment and Energy program produces data to develop cost-effective measures to mitigate the environmental impacts of aviation noise and emissions. ,20304,20304,0,20304,0,0,0,0,20304,0,0,0,0,0,0,0,20304,0,0,0,20304,0,0,0,0,20304,0
Y,2021,DOT,Federal Aviation Administration,"Research, Engineering & Development",NextGen - Environmental Research: Aircraft Technologies and Fuels,"The NextGen – Environmental Research: Aircraft Technologies and Fuels program researches, develops, and deploys new aircraft technologies, engine technologies, and advanced sustainable aviation fuels to create a fleet which uses less fuel and produces fewer emissions.",31500,31500,0,31500,0,0,0,0,15750,0,0,15750,0,0,0,0,10500,10500,10500,0,31500,0,0,0,0,31500,0
Y,2021,DOT,Federal Highway Administration,Federal-aid Highway Program,Congestion Mitigation and Air Quality Improvement Program,"The CMAQ program funds transportation projects and programs that support the Clean Air Act including deploying EV charging infrastructure, alternative fuel projects, and system efficiency improvements.",2493589,2493589,0,2493589,0,0,0,0,831196.3333,0,831196.3333,831196.3333,0,0,0,0,0,0,2493589,0,2493589,0,0,0,0,2493589,0
Y,2021,DOT,Federal Highway Administration,Federal-aid Highway Program,Federal Lands and Tribal Transportation Programs,"The Federal Lands and Tribal Transportation Programs support safe, seamless, and multimodal transportation access to and within Federal and Tribal lands, including promoting EV infrastructure among other infrastructure upgrades.",1250000,1250000,0,1250000,0,0,0,0,125000,0,125000,0,0,0,0,0,0,0,250000,0,1250000,0,0,0,0,1250000,0
Y,2021,DOT,Federal Highway Administration,Federal-aid Highway Program,Infrastructure for Rebuilding America (INFRA) Program,"The Infrastructure for Rebuilding America (INFRA) program allows States, metropolitan planning organizations, local governments, and other eligible entities to apply for funding to complete projects that improve safety, generate economic benefits, reduce congestion, enhance resiliency, and hold the greatest promise to eliminate freight bottlenecks and improve critical freight movements.",1000000,200000,0,200000,0,0,0,0,100000,0,100000,0,0,0,0,0,0,0,200000,0,200000,0,0,0,0,200000,0
Y,2021,DOT,Federal Highway Administration,Federal-aid Highway Program,Metropolitan Transportation Planning,"The Metropolitan Transportation Planning program engages local jurisdictions and transit operators to identify the needs and investment priorities for regions and create plans and programs to fill gaps in multimodal transportation, connectivity, environmental mitigation, and congestion mitigation among other priorities. ",357875,71575,0,71575,0,0,0,0,35787.5,0,35787.5,0,0,0,0,0,0,0,71575,0,71575,0,0,0,0,71575,0
